"NS" "Trial" "Step" "Choice1" "Choice2" "Resp1" "Resp2" "Reward" "RT1" "RT2"
"206" 1 "step_1_no_load" 1 2 -1 NA NA -1 NA
"207" 1 "step_1_no_load" 1 2 -1 NA NA -1 NA
"208" 1 "step_1_no_load" 1 2 1 NA NA 606 NA
"208" 1 "step_2_no_load" 3 4 0.457620150462 3 1 0.598297890399 579
"210" 1 "step_1_no_load" 1 2 1 NA NA 370 NA
"210" 1 "step_2_no_load" 5 6 0.457620150462 6 1 0.511789129507 456
"211" 1 "step_1_no_load" 1 2 -1 NA NA -1 NA
"212" 1 "step_1_no_load" 1 2 2 NA NA 879 NA
"212" 1 "step_2_no_load" 5 6 0.457620150462 6 0 0.511789129507 568
"213" 1 "step_1_no_load" 1 2 -1 NA NA -1 NA
"217" 1 "step_1_no_load" 1 2 1 NA NA 992 NA
"217" 1 "step_2_no_load" 3 4 0.598297890399 3 0 0.457620150462 622
"220" 1 "step_1_no_load" 1 2 1 NA NA 687 NA
"220" 1 "step_2_no_load" 3 4 0.511789129507 -1 -1 0.457620150462 -1
"229" 1 "step_1_no_load" 1 2 -1 NA NA -1 NA
"230" 1 "step_1_no_load" 1 2 2 NA NA 677 NA
"230" 1 "step_2_no_load" 5 6 0.598297890399 6 1 0.511789129507 786
"234" 1 "step_1_no_load" 1 2 -1 NA NA -1 NA
"235" 1 "step_1_no_load" 1 2 -1 NA NA -1 NA
"238" 1 "step_1_no_load" 1 2 1 NA NA 1035 NA
"238" 1 "step_2_no_load" 3 4 0.594299910136 -1 -1 0.511789129507 -1
"240" 1 "step_1_no_load" 1 2 1 NA NA 960 NA
"240" 1 "step_2_no_load" 3 4 0.511789129507 3 1 0.594299910136 821
"241" 1 "step_1_no_load" 1 2 1 NA NA 797 NA
"241" 1 "step_2_no_load" 5 6 0.511789129507 5 1 0.594299910136 916
"248" 1 "step_1_no_load" 1 2 1 NA NA 942 NA
"248" 1 "step_2_no_load" 3 4 0.511789129507 3 0 0.598297890399 573
"250" 1 "step_1_no_load" 1 2 1 NA NA 387 NA
"250" 1 "step_2_no_load" 3 4 0.594299910136 3 1 0.511789129507 854
"260" 1 "step_1_no_load" 1 2 -1 NA NA -1 NA
"263" 1 "step_1_no_load" 1 2 -1 NA NA -1 NA
"264" 1 "step_1_no_load" 1 2 -1 NA NA -1 NA
"270" 1 "step_1_no_load" 1 2 1 NA NA 616 NA
"270" 1 "step_2_no_load" 3 4 0.598297890399 4 1 0.594299910136 797
"271" 1 "step_1_no_load" 1 2 1 NA NA 582 NA
"271" 1 "step_2_no_load" 3 4 0.594299910136 4 0 0.598297890399 597
"273" 1 "step_1_no_load" 1 2 1 NA NA 744 NA
"273" 1 "step_2_no_load" 3 4 0.594299910136 3 1 0.598297890399 652
"274" 1 "step_1_no_load" 1 2 1 NA NA 666 NA
"274" 1 "step_2_no_load" 5 6 0.594299910136 6 0 0.598297890399 1150
"275" 1 "step_1_no_load" 1 2 2 NA NA 423 NA
"275" 1 "step_2_no_load" 3 4 0.594299910136 4 1 0.598297890399 297
"281" 1 "step_1_no_load" 1 2 1 NA NA 1145 NA
"281" 1 "step_2_no_load" 5 6 0.457620150462 6 1 0.594299910136 782
"290" 1 "step_1_no_load" 1 2 1 NA NA 997 NA
"290" 1 "step_2_no_load" 5 6 0.457620150462 5 1 0.598297890399 835
"291" 1 "step_1_no_load" 1 2 1 NA NA 853 NA
"291" 1 "step_2_no_load" 5 6 0.598297890399 5 1 0.511789129507 1058
"292" 1 "step_1_no_load" 1 2 1 NA NA 896 NA
"292" 1 "step_2_no_load" 3 4 0.594299910136 3 0 0.457620150462 604
"293" 1 "step_1_no_load" 1 2 -1 NA NA -1 NA
"294" 1 "step_1_no_load" 1 2 2 NA NA 1122 NA
"294" 1 "step_2_no_load" 3 4 0.511789129507 4 1 0.594299910136 1138
"296" 1 "step_1_no_load" 1 2 1 NA NA 974 NA
"296" 1 "step_2_no_load" 3 4 0.598297890399 4 0 0.457620150462 780
"298" 1 "step_1_no_load" 1 2 1 NA NA 698 NA
"298" 1 "step_2_no_load" 3 4 0.598297890399 3 1 0.457620150462 1371
"299" 1 "step_1_no_load" 1 2 -1 NA NA -1 NA
"300" 1 "step_1_no_load" 1 2 2 NA NA 732 NA
"300" 1 "step_2_no_load" 5 6 0.594299910136 5 1 0.598297890399 648
"301" 1 "step_1_no_load" 1 2 1 NA NA 1445 NA
"301" 1 "step_2_no_load" 3 4 0.594299910136 3 1 0.511789129507 914
"302" 1 "step_1_no_load" 1 2 -1 NA NA -1 NA
"303" 1 "step_1_no_load" 1 2 1 NA NA 1264 NA
"303" 1 "step_2_no_load" 3 4 0.594299910136 4 0 0.457620150462 825
"308" 1 "step_1_no_load" 1 2 1 NA NA 204 NA
"308" 1 "step_2_no_load" 3 4 0.457620150462 4 0 0.511789129507 1113
"311" 1 "step_1_no_load" 1 2 1 NA NA 354 NA
"311" 1 "step_2_no_load" 3 4 0.457620150462 4 0 0.598297890399 1060
"312" 1 "step_1_no_load" 1 2 1 NA NA 409 NA
"312" 1 "step_2_no_load" 3 4 0.511789129507 3 1 0.457620150462 736
"313" 1 "step_1_no_load" 1 2 1 NA NA 501 NA
"313" 1 "step_2_no_load" 3 4 0.598297890399 3 1 0.457620150462 813
"314" 1 "step_1_no_load" 1 2 1 NA NA 650 NA
"314" 1 "step_2_no_load" 5 6 0.457620150462 6 0 0.511789129507 592
"315" 1 "step_1_no_load" 1 2 2 NA NA 855 NA
"315" 1 "step_2_no_load" 5 6 0.594299910136 6 0 0.511789129507 874
"316" 1 "step_1_no_load" 1 2 -1 NA NA -1 NA
"319" 1 "step_1_no_load" 1 2 1 NA NA 972 NA
"319" 1 "step_2_no_load" 3 4 0.511789129507 -1 -1 0.598297890399 -1
"321" 1 "step_1_no_load" 1 2 1 NA NA 942 NA
"321" 1 "step_2_no_load" 3 4 0.457620150462 -1 -1 0.594299910136 -1
"331" 1 "step_1_no_load" 1 2 2 NA NA 683 NA
"331" 1 "step_2_no_load" 3 4 0.598297890399 4 1 0.511789129507 392
"333" 1 "step_1_no_load" 1 2 1 NA NA 1168 NA
"333" 1 "step_2_no_load" 3 4 0.511789129507 3 1 0.457620150462 674
"335" 1 "step_1_no_load" 1 2 1 NA NA 713 NA
"335" 1 "step_2_no_load" 5 6 0.511789129507 5 1 0.598297890399 532
"337" 1 "step_1_no_load" 1 2 1 NA NA 661 NA
"337" 1 "step_2_no_load" 3 4 0.511789129507 4 0 0.457620150462 792
"338" 1 "step_1_no_load" 1 2 1 NA NA 749 NA
"338" 1 "step_2_no_load" 5 6 0.598297890399 5 1 0.457620150462 456
"339" 1 "step_1_no_load" 1 2 2 NA NA 618 NA
"339" 1 "step_2_no_load" 5 6 0.598297890399 6 1 0.594299910136 716
"344" 1 "step_1_no_load" 1 2 1 NA NA 370 NA
"344" 1 "step_2_no_load" 3 4 0.457620150462 4 1 0.511789129507 691
"345" 1 "step_1_no_load" 1 2 1 NA NA 1288 NA
"345" 1 "step_2_no_load" 3 4 0.457620150462 -1 -1 0.511789129507 -1
"348" 1 "step_1_no_load" 1 2 2 NA NA 486 NA
"348" 1 "step_2_no_load" 5 6 0.598297890399 6 1 0.594299910136 600
"349" 1 "step_1_no_load" 1 2 1 NA NA 671 NA
"349" 1 "step_2_no_load" 3 4 0.594299910136 3 0 0.511789129507 1316
"350" 1 "step_1_no_load" 1 2 1 NA NA 563 NA
"350" 1 "step_2_no_load" 5 6 0.594299910136 5 0 0.598297890399 544
"353" 1 "step_1_no_load" 1 2 1 NA NA 643 NA
"353" 1 "step_2_no_load" 3 4 0.598297890399 3 0 0.511789129507 757
"356" 1 "step_1_no_load" 1 2 1 NA NA 443 NA
"356" 1 "step_2_no_load" 5 6 0.598297890399 5 1 0.594299910136 942
"357" 1 "step_1_no_load" 1 2 2 NA NA 509 NA
"357" 1 "step_2_no_load" 5 6 0.598297890399 6 1 0.594299910136 455
"358" 1 "step_1_no_load" 1 2 2 NA NA 655 NA
"358" 1 "step_2_no_load" 5 6 0.511789129507 6 1 0.594299910136 672
"359" 1 "step_1_no_load" 1 2 -1 NA NA -1 NA
"360" 1 "step_1_no_load" 1 2 2 NA NA 793 NA
"360" 1 "step_2_no_load" 5 6 0.594299910136 6 0 0.598297890399 963
"364" 1 "step_1_no_load" 1 2 2 NA NA 1087 NA
"364" 1 "step_2_no_load" 5 6 0.598297890399 6 0 0.457620150462 835
"110" 2 "step_1_no_load" 1 2 1 NA NA 811 NA
"110" 2 "step_2_no_load" 3 4 0.610961032466 3 1 0.474613197709 594
"111" 2 "step_1_no_load" 1 2 1 NA NA 386 NA
"111" 2 "step_2_no_load" 3 4 0.533203491871 3 1 0.580156942153 486
"114" 2 "step_1_no_load" 1 2 1 NA NA 151 NA
"114" 2 "step_2_no_load" 5 6 0.533203491871 5 1 0.610961032466 563
"116" 2 "step_1_no_load" 1 2 1 NA NA 780 NA
"116" 2 "step_2_no_load" 3 4 0.610961032466 4 1 0.580156942153 1091
"117" 2 "step_1_no_load" 1 2 2 NA NA 582 NA
"117" 2 "step_2_no_load" 5 6 0.474613197709 5 0 0.580156942153 1394
"119" 2 "step_1_no_load" 1 2 1 NA NA 431 NA
"119" 2 "step_2_no_load" 5 6 0.580156942153 6 1 0.474613197709 428
"120" 2 "step_1_no_load" 1 2 2 NA NA 378 NA
"120" 2 "step_2_no_load" 5 6 0.474613197709 6 1 0.580156942153 171
"121" 2 "step_1_no_load" 1 2 2 NA NA 836 NA
"121" 2 "step_2_no_load" 5 6 0.610961032466 6 1 0.533203491871 1074
"122" 2 "step_1_no_load" 1 2 2 NA NA 347 NA
"122" 2 "step_2_no_load" 5 6 0.610961032466 6 0 0.474613197709 381
"124" 2 "step_1_no_load" 1 2 1 NA NA 103 NA
"124" 2 "step_2_no_load" 3 4 0.474613197709 4 0 0.533203491871 356
"126" 2 "step_1_no_load" 1 2 -1 NA NA -1 NA
"127" 2 "step_1_no_load" 1 2 2 NA NA 471 NA
"127" 2 "step_2_no_load" 5 6 0.533203491871 6 0 0.474613197709 1322
"128" 2 "step_1_no_load" 1 2 1 NA NA 381 NA
"128" 2 "step_2_no_load" 3 4 0.610961032466 4 0 0.533203491871 392
"129" 2 "step_1_no_load" 1 2 -1 NA NA -1 NA
"130" 2 "step_1_no_load" 1 2 1 NA NA 420 NA
"130" 2 "step_2_no_load" 3 4 0.610961032466 4 1 0.580156942153 703
"134" 2 "step_1_no_load" 1 2 1 NA NA 852 NA
"134" 2 "step_2_no_load" 3 4 0.474613197709 4 1 0.610961032466 1381
"135" 2 "step_1_no_load" 1 2 1 NA NA 436 NA
"135" 2 "step_2_no_load" 3 4 0.533203491871 4 1 0.610961032466 433
"138" 2 "step_1_no_load" 1 2 2 NA NA 541 NA
"138" 2 "step_2_no_load" 5 6 0.580156942153 5 1 0.474613197709 913
"139" 2 "step_1_no_load" 1 2 1 NA NA 6 NA
"139" 2 "step_2_no_load" 3 4 0.580156942153 3 1 0.610961032466 187
"140" 2 "step_1_no_load" 1 2 1 NA NA 562 NA
"140" 2 "step_2_no_load" 3 4 0.533203491871 3 1 0.580156942153 851
"142" 2 "step_1_no_load" 1 2 1 NA NA 586 NA
"142" 2 "step_2_no_load" 3 4 0.533203491871 3 0 0.580156942153 1044
"143" 2 "step_1_no_load" 1 2 2 NA NA 401 NA
"143" 2 "step_2_no_load" 5 6 0.580156942153 6 0 0.474613197709 693
"144" 2 "step_1_no_load" 1 2 1 NA NA 359 NA
"144" 2 "step_2_no_load" 3 4 0.533203491871 4 0 0.474613197709 458
"146" 2 "step_1_no_load" 1 2 1 NA NA 471 NA
"146" 2 "step_2_no_load" 3 4 0.580156942153 3 0 0.533203491871 352
"148" 2 "step_1_no_load" 1 2 1 NA NA 497 NA
"148" 2 "step_2_no_load" 3 4 0.533203491871 3 1 0.580156942153 554
"150" 2 "step_1_no_load" 1 2 2 NA NA 447 NA
"150" 2 "step_2_no_load" 3 4 0.580156942153 4 0 0.610961032466 842
"151" 2 "step_1_no_load" 1 2 1 NA NA 356 NA
"151" 2 "step_2_no_load" 3 4 0.580156942153 4 1 0.474613197709 552
"152" 2 "step_1_no_load" 1 2 2 NA NA 359 NA
"152" 2 "step_2_no_load" 3 4 0.610961032466 4 0 0.474613197709 456
"153" 2 "step_1_no_load" 1 2 1 NA NA 599 NA
"153" 2 "step_2_no_load" 5 6 0.533203491871 5 0 0.610961032466 1492
"154" 2 "step_1_no_load" 1 2 2 NA NA 412 NA
"154" 2 "step_2_no_load" 5 6 0.580156942153 5 1 0.474613197709 389
"156" 2 "step_1_no_load" 1 2 1 NA NA 303 NA
"156" 2 "step_2_no_load" 3 4 0.610961032466 4 1 0.580156942153 514
"159" 2 "step_1_no_load" 1 2 2 NA NA 779 NA
"159" 2 "step_2_no_load" 3 4 0.533203491871 4 1 0.580156942153 703
"160" 2 "step_1_no_load" 1 2 2 NA NA 617 NA
"160" 2 "step_2_no_load" 5 6 0.610961032466 6 1 0.474613197709 492
"161" 2 "step_1_no_load" 1 2 2 NA NA 660 NA
"161" 2 "step_2_no_load" 3 4 0.580156942153 3 1 0.533203491871 390
"165" 2 "step_1_no_load" 1 2 1 NA NA 486 NA
"165" 2 "step_2_no_load" 3 4 0.533203491871 3 0 0.610961032466 516
"166" 2 "step_1_no_load" 1 2 2 NA NA 772 NA
"166" 2 "step_2_no_load" 3 4 0.610961032466 3 1 0.580156942153 609
"167" 2 "step_1_no_load" 1 2 1 NA NA 478 NA
"167" 2 "step_2_no_load" 3 4 0.580156942153 3 0 0.610961032466 673
"169" 2 "step_1_no_load" 1 2 1 NA NA 661 NA
"169" 2 "step_2_no_load" 3 4 0.533203491871 3 1 0.610961032466 403
"170" 2 "step_1_no_load" 1 2 1 NA NA 51 NA
"170" 2 "step_2_no_load" 3 4 0.533203491871 4 1 0.580156942153 761
"178" 2 "step_1_no_load" 1 2 1 NA NA 393 NA
"178" 2 "step_2_no_load" 3 4 0.533203491871 4 1 0.474613197709 904
"180" 2 "step_1_no_load" 1 2 1 NA NA 747 NA
"180" 2 "step_2_no_load" 3 4 0.533203491871 4 0 0.474613197709 1036
"182" 2 "step_1_no_load" 1 2 1 NA NA 233 NA
"182" 2 "step_2_no_load" 3 4 0.610961032466 4 1 0.580156942153 399
"183" 2 "step_1_no_load" 1 2 1 NA NA 546 NA
"183" 2 "step_2_no_load" 5 6 0.610961032466 5 0 0.474613197709 533
"184" 2 "step_1_no_load" 1 2 1 NA NA 513 NA
"184" 2 "step_2_no_load" 3 4 0.474613197709 3 0 0.533203491871 1361
"187" 2 "step_1_no_load" 1 2 1 NA NA 339 NA
"187" 2 "step_2_no_load" 3 4 0.533203491871 3 1 0.580156942153 881
"188" 2 "step_1_no_load" 1 2 2 NA NA 267 NA
"188" 2 "step_2_no_load" 5 6 0.474613197709 6 0 0.580156942153 274
"194" 2 "step_1_no_load" 1 2 2 NA NA 415 NA
"194" 2 "step_2_no_load" 5 6 0.610961032466 5 0 0.533203491871 804
"195" 2 "step_1_no_load" 1 2 1 NA NA 466 NA
"195" 2 "step_2_no_load" 3 4 0.610961032466 3 0 0.533203491871 1411
"199" 2 "step_1_no_load" 1 2 1 NA NA 572 NA
