"subjID"	"a1"	"beta1"	"a2"	"beta2"	"pi"	"w"	"lambda"
110	0.361806615025513	2.5815626976792	0.227870322993848	1.40082781357532	0.947442555489987	0.40766533149062	0.987803797964954
111	0.779743436301528	4.82202801543083	0.162743577451272	3.52579087480595	1.42379618700249	0.431101991722498	0.987820478872047
114	0.940147033122655	6.15667434789652	0.0420765742355559	7.33448799451038	0.0466346810001895	0.223341060005415	0.988432224547651
116	0.183520613686128	5.0336707043587	0.480152297895122	2.53508173562486	1.39591069278934	0.412979334207588	0.988111401107935
117	0.879402301862728	4.70735340212808	0.610111818316405	2.27209246748823	0.297266975379813	0.398727173415404	0.988514720371104
119	0.869014536799175	3.97566584638256	0.200442850867079	2.37073925395949	0.899607061133228	0.346213937217787	0.988121120742388
120	0.913868521927631	5.67050129938754	0.0226966766783691	4.76695259570477	0.0466318330940995	0.233417534687421	0.988140799437881
121	0.150106438290423	2.548598025545	0.443979503230418	1.76941848332937	0.143793285601262	0.358080302523732	0.987941637161998
122	0.00795222971661466	21.9103390682779	0.0708090901935664	1.43808761260669	0.141546990350286	0.373722283847759	0.987975452181976
124	0.0484650691814781	4.03645283209387	0.0882361347709904	3.4033946644437	2.02875552728938	0.288724592504023	0.988205999951534
126	0.558261282399282	4.53522817114626	0.545402406214786	2.55762979907964	2.23905500001321	0.488059756372884	0.988310285280867
127	0.113404479690022	4.55897395692664	0.0549186849146609	4.07515798237697	1.08743293363088	0.375490464679327	0.987936160193594
128	0.381609027361275	3.79723681819247	0.533845542490511	1.63703676717626	2.99691327306386	0.417735868819534	0.988216910150068
129	0.10605148723814	3.50470919317674	0.0637487298128055	3.92321733681428	0.792697340902215	0.444441456135358	0.987960989542885
130	0.701456353552314	3.48510014344466	0.268457177768888	8.00840153079605	2.92046530661169	0.292393591612761	0.988176464118102
134	0.410280261251166	3.08146038576268	0.778175031249381	1.46457205192561	1.13402912391648	0.478503078474252	0.988254945810266
135	0.0999409452482788	3.60654490917627	0.0636490430241594	2.80745833260969	0.123736639778117	0.464542904525016	0.987856282064441
136	0.0932304284991495	2.19016848543354	0.758777158359483	1.2889156094454	1.06743116956987	0.244359712966001	0.988221787096032
138	0.587641193623143	5.43827788336804	0.041512250937885	4.44393108686497	1.85665415221278	0.366875560168137	0.988089173925095
139	0.305975965550563	6.43763678901965	0.758420961743919	2.39784567236546	1.01940050290283	0.67195984167821	0.988372799777462
