"subjID"	"MB"	"MF"	"RewMB"	"UnrewMB"	"MBp"	"MFp"	"RewMBp"	"UnrewMBp"
"1"	110	1.25649083844634	-0.768654732905494	0.0525180342841129	-1.20397280416223	0.170688385113241	0.33573764787518	0.930767353405872	0.0808931670305697
"2"	111	17.9974525931546	0.405465108108164	19.3688439242688	-0.628608659424828	0.988591539518035	0.659568471640679	0.995483127532894	0.333737001407563
"3"	114	-14.6041977047055	18.8072305726781	-17.6393291243512	-1.03513140908756	0.991248322922474	0.988729770700401	0.996111266115272	0.0459249205622241
"4"	115	-0.107630664191195	-0.739667196194841	-0.559615787934251	-0.451985123743056	0.883441906453901	0.229933042570647	0.238297036383521	0.419722678185313
"5"	116	-0.395312736644222	1.76358859226136	0.277631736598205	0.672944473239506	0.682464667449409	0.0246609580179127	0.709433068118368	0.274078584286953
"6"	117	2.97136368235353	-0.230523658611832	2.33537491563354	-0.635988766719915	0.000334041392877854	0.691119913303431	0.000385360498633306	0.206321683536585
"7"	118	-6.59641704037203e-10	-1.09110879210053e-24	1.67530811088685e-08	2.24986920894069e-09	0.999999999999996	1	0.999999999999844	0.999999999999981
"8"	119	0.844609417059889	1.05605267424931	0.75223609692887	-0.092373320130855	0.3415071142376	0.127826310634643	0.292123784687613	0.861069387159769
"9"	120	-0.100083530176258	5.31320597904096	0.693147108940669	0.793230639078703	0.951720418459948	2.75627367942783e-05	0.628416906261783	0.336463995788844
"10"	121	-0.0163491380026951	-0.847297860386034	-0.352821374622741	-0.336472236620047	0.982172594104912	0.169820797709903	0.439540167231807	0.556251662113422
"11"	122	0.540734120631224	-0.171271720607366	0.250198979197041	-0.290535138988965	0.472849913494841	0.790151431843486	0.605758085093692	0.614324768361993
"12"	124	-0.693147180548756	0.81093021620514	-0.693147180548753	-9.61481210632898e-17	0.562233831283201	0.443598257077183	0.400783520666595	1
"13"	126	19.0321381902152	-2.63336710607203e-08	-1.98954235305176e-09	-18.0321381648642	0.997422926814494	0.999999999996106	0.999999999999984	0.993048266523001
"14"	127	2.80645157347613	-1.24521576285991	1.04454505042167	-1.76190650607829	0.00580286092439907	0.15447101914051	0.100495817113342	0.026483252638238
"15"	128	-15.400264994731	16.5703362473812	-16.505625511828	-0.105360505393192	0.994763945795006	0.994366129974023	0.996596211494697	0.92908758528748
"16"	129	0.458452387897321	-0.277868451003452	0.848413309468067	0.389960921570742	0.524945211156202	0.634359459430861	0.0728205071911436	0.473795013425135
"17"	130	1.57866628286972	-2.91023549287545e-08	-16.1840418843666	-17.762708157364	0.999770547611244	0.99999999999577	0.996215665704585	0.996704246951343
"18"	131	-19.1987727386157	19.1987727874297	3.56533625884185e-09	18.198772702836	0.998947031364189	0.998578601024739	0.999999999999968	0.99701964941599
"19"	132	-0.733969205835884	19.0811618892556	-4.61885378450496e-06	0.733969175080175	0.999917054188684	0.99744856379224	0.999999999957153	0.4762578927391
"20"	134	0.892818371995389	0.336472236623419	0.785262465775225	-0.107555906220162	0.293683928738303	0.61522136907603	0.23609956909128	0.839950420423821
