"subjID" "Trial" "level1_choice" "level2_choice" "reward" "transition" "Stay" "PrReward" "PrTransition" "RT1" "RT2"
"110" 139 1 3 0 -1 0 0 1 36 99
"110" 140 1 1 1 1 1 0 -1 18 708
"110" 141 1 3 0 -1 1 1 1 19 432
"110" 142 1 1 0 1 1 0 -1 17 171
"110" 143 2 2 1 -1 0 0 1 1 1072
"110" 144 2 2 1 -1 1 1 -1 239 749
"110" 145 1 2 0 1 0 1 -1 792 545
"110" 146 1 1 1 1 1 0 1 442 234
"110" 149 1 3 0 -1 1 0 1 397 799
"110" 150 2 3 1 1 0 0 -1 833 809
"110" 151 2 4 0 1 1 1 1 502 454
"110" 152 1 2 0 1 0 0 1 463 861
"110" 153 1 1 1 1 1 0 1 501 880
"110" 154 1 3 0 -1 1 1 1 707 727
"110" 155 1 1 1 1 1 0 -1 402 553
"110" 156 1 1 0 1 1 1 1 73 413
"110" 157 1 1 0 1 1 0 1 91 85
"110" 158 1 1 1 1 1 0 1 7 390
"110" 159 1 4 1 -1 1 1 1 24 764
"110" 160 1 1 1 1 1 1 -1 143 670
"110" 161 1 4 0 -1 1 1 1 7 1173
"110" 163 1 1 0 1 1 0 -1 393 345
"110" 164 1 1 0 1 1 0 1 358 479
"110" 165 1 1 0 1 1 0 1 10 459
"110" 166 2 4 1 1 0 0 1 345 690
"110" 167 1 1 1 1 0 1 1 674 700
"110" 168 1 3 0 -1 1 1 1 0 8
"110" 169 1 1 1 1 1 0 -1 495 137
"110" 170 1 1 1 1 1 1 1 533 360
"110" 171 2 3 1 1 0 1 1 845 599
"110" 172 2 2 0 -1 1 1 1 441 190
"110" 173 2 3 1 1 1 0 -1 6 1431
"110" 174 1 2 0 1 0 1 1 66 536
"110" 175 1 3 1 -1 1 0 1 287 1318
"110" 176 2 3 0 1 0 1 -1 493 444
"110" 177 2 4 1 1 1 0 1 1142 889
"110" 179 1 3 0 -1 0 1 1 640 96
"110" 180 2 4 1 1 0 0 -1 408 79
"110" 181 1 1 1 1 0 1 1 864 483
"110" 182 1 1 1 1 1 1 1 592 116
"110" 184 1 3 0 -1 1 1 1 221 661
"110" 186 2 3 1 1 0 0 -1 1050 1199
"110" 187 1 2 1 1 0 1 1 1 96
"110" 188 2 4 1 1 0 1 1 10 1030
"110" 189 2 4 1 1 1 1 1 398 112
"110" 190 2 4 0 1 1 1 1 750 792
"110" 191 2 3 0 1 1 0 1 456 829
"110" 192 2 4 0 1 1 0 1 523 458
"110" 193 2 3 1 1 1 0 1 31 117
"110" 194 2 4 1 1 1 1 1 402 342
"110" 195 2 1 1 -1 1 1 1 344 812
"110" 198 1 1 0 1 1 1 1 809 843
"110" 199 2 4 1 1 0 0 1 557 331
"110" 200 2 4 0 1 1 1 1 371 351
"111" 1 1 1 1 1 NA NA NA 866 787
"111" 2 1 1 1 1 1 1 1 386 486
"111" 3 1 1 0 1 1 1 1 354 466
"111" 4 1 1 0 1 1 0 1 924 702
"111" 5 2 4 1 1 0 0 1 566 1231
"111" 6 2 4 0 1 1 1 1 247 557
"111" 7 2 3 1 1 1 0 1 317 792
"111" 8 1 3 1 -1 0 1 1 337 958
"111" 9 1 3 0 -1 1 1 -1 281 526
"111" 10 1 2 0 1 1 0 -1 238 834
"111" 11 2 2 0 -1 0 0 1 275 319
"111" 12 2 2 0 -1 1 0 -1 235 321
"111" 13 2 3 0 1 1 0 -1 362 255
"111" 14 2 2 1 -1 1 0 1 369 297
"111" 15 2 4 1 1 1 1 -1 233 239
"111" 16 2 4 0 1 1 1 1 278 501
"111" 17 2 4 1 1 1 0 1 245 261
"111" 18 2 4 1 1 1 1 1 224 261
"111" 19 2 4 1 1 1 1 1 262 230
"111" 20 2 3 1 1 1 1 1 573 382
"111" 21 2 1 1 -1 1 1 1 353 367
