"subjID"	"Type"	"Proba"
"1"	110	"PRCw"	0.761194029850746
"2"	110	"PRRw"	0.739130434782609
"3"	110	"PUCw"	0.69811320754717
"4"	110	"PURw"	0.814814814814815
"5"	111	"PRCw"	1
"6"	111	"PRRw"	0.904761904761905
"7"	111	"PUCw"	0.775510204081633
"8"	111	"PURw"	0.794117647058823
"9"	114	"PRCw"	0.954545454545455
"10"	114	"PRRw"	1
"11"	114	"PUCw"	0.223880597014925
"12"	114	"PURw"	0.423076923076923
"13"	115	"PRCw"	0.659863945578231
"14"	115	"PRRw"	0.721311475409836
"15"	115	"PUCw"	0.736363636363636
"16"	115	"PURw"	0.833333333333333
"17"	116	"PRCw"	0.924050632911392
"18"	116	"PRRw"	0.878787878787879
"19"	116	"PUCw"	0.729166666666667
"20"	116	"PURw"	0.611111111111111
"21"	117	"PRCw"	0.945205479452055
"22"	117	"PRRw"	0.571428571428571
"23"	117	"PUCw"	0.466666666666667
"24"	117	"PURw"	0.586206896551724
"25"	118	"PRCw"	1
"26"	118	"PRRw"	1
"27"	118	"PUCw"	1
"28"	118	"PURw"	1
"29"	119	"PRCw"	0.932432432432432
"30"	119	"PRRw"	0.875
"31"	119	"PUCw"	0.672413793103448
"32"	119	"PURw"	0.692307692307692
"33"	120	"PRCw"	0.984375
"34"	120	"PRRw"	0.973684210526316
"35"	120	"PUCw"	0.229508196721311
"36"	120	"PURw"	0.117647058823529
"37"	121	"PRCw"	0.417910447761194
"38"	121	"PRRw"	0.466666666666667
"39"	121	"PUCw"	0.60655737704918
"40"	121	"PURw"	0.692307692307692
"41"	122	"PRCw"	0.6
"42"	122	"PRRw"	0.586206896551724
"43"	122	"PUCw"	0.533333333333333
"44"	122	"PURw"	0.619047619047619
"45"	124	"PRCw"	0.871428571428571
"46"	124	"PRRw"	0.939393939393939
"47"	124	"PUCw"	0.872727272727273
"48"	124	"PURw"	0.882352941176471
"49"	126	"PRCw"	1
"50"	126	"PRRw"	1
"51"	126	"PUCw"	0.8
"52"	126	"PURw"	1
"53"	127	"PRCw"	0.9
"54"	127	"PRRw"	0.774193548387097
"55"	127	"PUCw"	0.644067796610169
"56"	127	"PURw"	0.884615384615385
"57"	128	"PRCw"	0.984615384615385
"58"	128	"PRRw"	1
"59"	128	"PUCw"	0.9375
"60"	128	"PURw"	0.96551724137931
"61"	129	"PRCw"	0.77027027027027
"62"	129	"PRRw"	0.548387096774194
"63"	129	"PUCw"	0.706896551724138
"64"	129	"PURw"	0.68
"65"	130	"PRCw"	0.988636363636364
"66"	130	"PRRw"	1
"67"	130	"PUCw"	0.933333333333333
"68"	130	"PURw"	0.947368421052632
"69"	131	"PRCw"	1
"70"	131	"PRRw"	1
"71"	131	"PUCw"	1
"72"	131	"PURw"	0.970588235294118
"73"	132	"PRCw"	1
"74"	132	"PRRw"	1
"75"	132	"PUCw"	0.969230769230769
"76"	132	"PURw"	0.931034482758621
"77"	134	"PRCw"	0.848484848484849
"78"	134	"PRRw"	0.777777777777778
"79"	134	"PUCw"	0.703125
"80"	134	"PURw"	0.758620689655172
"81"	135	"PRCw"	0.571428571428571
"82"	135	"PRRw"	0.4
"83"	135	"PUCw"	0.474576271186441
"84"	135	"PURw"	0.65625
"85"	137	"PRCw"	0.869565217391304
"86"	137	"PRRw"	0.966666666666667
"87"	137	"PUCw"	0.907407407407407
"88"	137	"PURw"	0.958333333333333
"89"	138	"PRCw"	0.985714285714286
"90"	138	"PRRw"	0.962962962962963
"91"	138	"PUCw"	0.82
"92"	138	"PURw"	0.935483870967742
"93"	139	"PRCw"	0.985714285714286
"94"	139	"PRRw"	0.756756756756757
"95"	139	"PUCw"	0.406779661016949
"96"	139	"PURw"	0.904761904761905
"97"	140	"PRCw"	0.315068493150685
"98"	140	"PRRw"	0.388888888888889
"99"	140	"PUCw"	0.403508771929825
"100"	140	"PURw"	0.333333333333333
"101"	142	"PRCw"	1
"102"	142	"PRRw"	0.90625
"103"	142	"PUCw"	0.96875
"104"	142	"PURw"	1
"105"	143	"PRCw"	0.931506849315068
"106"	143	"PRRw"	0.793103448275862
"107"	143	"PUCw"	0.644067796610169
"108"	143	"PURw"	0.88
"109"	144	"PRCw"	0.975609756097561
"110"	144	"PRRw"	0.967741935483871
"111"	144	"PUCw"	0.230769230769231
"112"	144	"PURw"	0.409090909090909
"113"	145	"PRCw"	0.294117647058824
"114"	145	"PRRw"	0.166666666666667
"115"	145	"PUCw"	0.412698412698413
"116"	145	"PURw"	0.413793103448276
"117"	146	"PRCw"	0.971830985915493
