"subjID"	"UnRewRT1"	"RewRT1"	"<NA>"	"RareRT2"	"CommonRT2"	"dRT1"	"dRT2"
"110"	340.524390243902	377.618556701031	984	560.603773584906	555.566929133858	37.0941664571285	5.03684445104739
"111"	307.551724137931	290.628571428571	866	393.912280701754	365.117647058824	-16.9231527093596	28.7946336429309
"114"	288.443298969072	292.13	NA	272.758620689655	280.453237410072	3.68670103092785	-7.69461672041678
"115"	386.40350877193	383.525821596244	NA	852.330434782609	788.89219330855	-2.87768717568565	63.4382414740585
"116"	450.6	498.726495726496	1075	602.303571428571	533.030303030303	48.1264957264957	69.2732683982684
"117"	406.553191489362	408.407766990291	1013	573.779661016949	532.194244604317	1.85457550092951	41.5854164126326
"118"	292.064516129032	280.747706422018	NA	267.592920353982	250.238461538462	-11.3168097070139	17.3544588155208
"119"	423.717647058824	450.0625	936	590.067796610169	577.028776978417	26.3448529411765	13.0390196317522
"120"	246.182926829268	230.934579439252	1051	348.327586206897	377.80303030303	-15.248347390016	-29.4754440961337
"121"	382.797752808989	480.862745098039	536	558.107142857143	611.625	98.0649922890505	-53.5178571428571
"122"	321.72619047619	336.336842105263	1029	323.277777777778	350.65873015873	14.6106516290727	-27.3809523809524
"124"	266.807692307692	349.330188679245	1301	392.792452830189	450.643939393939	82.522496371553	-57.8514865637507
"126"	289.944444444444	288.818181818182	NA	795.19298245614	740.726618705036	-1.12626262626264	54.4663637511044
"127"	224.010869565217	384.058252427184	NA	871.333333333333	859.630434782609	160.047382861967	11.7028985507246
"128"	437.329896907216	399.47311827957	1133	859.303571428571	710.777777777778	-37.8567786276466	148.525793650794
"129"	410.511627906977	531.722222222222	NA	825.966101694915	737.696296296296	121.210594315245	88.2698053986189
"130"	328.102941176471	334.396825396825	NA	501.327586206897	505.132352941176	6.29388422035481	-3.80476673427989
"131"	337.349397590361	358.267857142857	582	439.689655172414	430.746376811594	20.9184595524957	8.94327836081959
"132"	532.632653061224	558.469387755102	1412	619.627118644068	640.195652173913	25.8367346938776	-20.5685335298452
"134"	254.30612244898	310.546391752577	886	524.516666666667	509.654411764706	56.2402693035978	14.8622549019608
"135"	650.604166666667	600.484848484848	436	802.105263157895	717.338129496403	-50.1193181818181	84.7671336614918
"137"	377.890243902439	390.298076923077	717	489.105263157895	502.230769230769	12.4078330206379	-13.1255060728745
"138"	464.619047619048	475.78640776699	NA	524.931034482759	556.790697674419	11.1673601479427	-31.85966319166
"139"	253.905882352941	203.315315315315	644	274.593220338983	268.282608695652	-50.5905670376259	6.31061164333084
"140"	538.858823529412	533.043859649123	878	860.6	731.407142857143	-5.81496388028893	129.192857142857
"142"	402.097826086957	518.792452830189	NA	796.7	770.340579710145	116.694626743232	26.3594202898552
"143"	393.942528735632	470.601851851852	604	782.660714285714	576.557142857143	76.6593231162196	206.103571428572
"144"	374.089743589744	392.042372881356	570	504.120689655172	464.330935251799	17.9526292916124	39.7897544033739
"145"	344.714285714286	383.217821782178	369	347.8	423.671428571429	38.5035360678925	-75.8714285714286
