"subjID"	"Trial"	"Stage1"	"Stage2"	"Stay"	"RT"	"PrSSReward"	"transition"	"PrReward"	"PrTransition"
110	74	1	-1	1	79	-1	1	-1	-1
110	74	-1	1	1	561	-1	1	-1	-1
110	75	1	-1	1	128	-1	1	-1	1
110	75	-1	1	1	353	-1	1	-1	1
110	76	1	-1	1	19	1	1	1	1
110	76	-1	1	1	17	1	1	1	1
110	77	1	-1	1	1	-1	1	-1	1
110	77	-1	1	0	565	-1	1	-1	1
110	78	1	-1	1	964	-1	-1	1	1
110	78	-1	1	0	596	-1	-1	1	1
110	79	1	-1	1	659	1	1	-1	-1
110	79	-1	1	1	1304	1	1	-1	-1
110	80	1	-1	1	529	-1	1	-1	1
110	80	-1	1	1	942	-1	1	-1	1
110	81	1	-1	1	772	-1	-1	1	1
110	81	-1	1	0	1157	-1	-1	1	1
110	82	1	-1	1	560	1	1	1	-1
110	82	-1	1	1	1050	1	1	1	-1
110	83	1	-1	1	323	1	1	1	1
110	83	-1	1	1	1341	1	1	1	1
110	84	1	-1	1	119	-1	1	-1	1
110	84	-1	1	1	585	-1	1	-1	1
110	85	1	-1	1	83	1	1	1	1
110	85	-1	1	0	656	1	1	1	1
110	86	1	-1	1	767	1	-1	-1	1
110	86	-1	1	1	806	1	-1	-1	1
110	87	1	-1	1	791	1	-1	1	-1
110	87	-1	1	0	804	1	-1	1	-1
110	88	1	-1	1	587	-1	1	1	-1
110	88	-1	1	0	709	-1	1	1	-1
110	89	1	-1	1	373	1	1	1	1
110	89	-1	1	1	1166	1	1	1	1
110	90	1	-1	1	409	1	-1	1	1
110	90	-1	1	0	1351	1	-1	1	1
110	91	1	-1	1	412	-1	-1	-1	-1
110	91	-1	1	1	1150	-1	-1	-1	-1
110	92	1	-1	1	56	1	1	1	-1
110	92	-1	1	1	962	1	1	1	-1
110	93	1	-1	1	550	1	-1	-1	1
110	93	-1	1	0	528	1	-1	-1	1
110	94	1	-1	1	418	1	-1	1	-1
110	94	-1	1	0	452	1	-1	1	-1
110	95	1	-1	1	570	-1	1	-1	-1
110	95	-1	1	1	1061	-1	1	-1	-1
110	96	1	-1	1	6	1	1	1	1
110	96	-1	1	0	456	1	1	1	1
110	97	1	-1	1	236	-1	1	-1	1
110	97	-1	1	0	844	-1	1	-1	1
110	98	1	-1	0	403	-1	1	1	1
110	98	-1	1	1	749	-1	1	1	1
110	99	1	-1	1	11	1	-1	1	1
