"subjID"	"nWord"	"RT"
"110"	51	5942.44555555556
"111"	51	3247.01444444444
"114"	49	3855.02444444444
"115"	53	5147.6130952381
"116"	16	18633.8322222222
"117"	45	3653.94047619048
"118"	46	3865.65222222222
"119"	43	5527.99523809524
"120"	35	5424.42888888889
"121"	48	3769.23452380952
"122"	47	4061.19222222222
"124"	54	3518.60555555556
"126"	52	3848.93452380952
"127"	NA	6659.25
"128"	41	4330.69102564103
"129"	30	3320.48846153846
"130"	48	3924.12333333333
"134"	45	4904.46444444444
"135"	40	4422.58194444444
"136"	60	5092.89888888889
"138"	39	7090.78222222222
"139"	51	4610.65595238095
"140"	37	3601.67555555556
"142"	37	4769.72619047619
"143"	NA	6893.5
"144"	31	4114.6630952381
"146"	46	4756.87
"147"	53	3638.27
"148"	59	4735.90333333333
"149"	42	3358.425
"150"	47	4426.99444444444
"151"	54	4018.71
"152"	37	5061.70833333333
"153"	52	3058.75555555556
"154"	25	4675.88555555556
"155"	53	3470.29222222222
"156"	45	4828.07777777778
"157"	56	4023.11222222222
"158"	45	6381.12555555556
"159"	52	4612.40555555556
"160"	57	7687.27777777778
"161"	43	7230.4630952381
"162"	51	5020.58809523809
"163"	48	4088.46904761905
"164"	49	5211.37888888889
"165"	36	4782.24761904762
"166"	38	4257.33846153846
"167"	59	8355.34444444444
"168"	54	4254.53333333333
"169"	33	4248.36538461538
"178"	37	8007.55555555556
"180"	50	4057.40222222222
"181"	6	5926.50128205128
"182"	50	4814.84444444444
"183"	34	5874.07555555556
"184"	37	11104.1861111111
"187"	38	4603.29404761905
"193"	23	6713.67142857143
"195"	48	5621.85777777778
"196"	15	4040.53111111111
"199"	54	7133.41428571429
"203"	42	4050.00666666667
"204"	56	6823.73222222222
"205"	48	5138.89222222222
"206"	25	11350.5772727273
"207"	37	6598.29230769231
"208"	54	4166.76428571429
"209"	52	4033.475
"210"	43	8073.90119047619
"211"	37	5599.60555555556
"212"	41	9527.22692307692
"213"	38	6064.84761904762
"214"	2	3168.5
"217"	35	5929.76111111111
"220"	0	8818.33333333333
"222"	55	6428.16111111111
"223"	44	4210.86111111111
"225"	50	4178.53444444444
"227"	56	3669.19880952381
"228"	57	2948.37
"229"	34	7238.00769230769
"230"	58	5672.93222222222
"231"	42	3130.87142857143
"232"	42	6500.53666666667
"234"	32	5345.81666666667
"235"	41	6805.55333333333
"238"	16	7031.48333333333
"240"	52	4559.85777777778
"241"	45	5138.02666666667
"243"	47	4863.85888888889
"248"	43	5754.70128205128
"249"	39	7167.43571428571
"250"	53	2693.89555555556
"251"	37	3928.02888888889
"252"	48	4666.93555555556
"253"	43	8877.06904761905
"254"	39	8948.05666666667
"255"	52	4387.10444444444
"259"	51	3348.33888888889
"260"	35	5081.13555555556
"261"	42	4467.38777777778
"262"	19	10733.7142857143
"264"	21	4079.10714285714
"265"	37	4865.45
"266"	29	5410.87619047619
"267"	20	5773.82435897436
"270"	18	8545.80416666667
"271"	31	8983.80888888889
"272"	41	4411.32
"273"	39	10377.8404761905
"274"	22	12441.5522222222
"275"	45	4013.57948717949
"281"	39	4924.41666666667
"285"	53	9161.50666666667
"286"	54	3967.65666666667
"288"	32	6815.38452380952
"289"	10	5749.95128205128
"290"	38	7583.45
"291"	57	4983.86111111111
"292"	49	4144.77738095238
"293"	51	3465.70777777778
"294"	52	4044.18111111111
"296"	51	3403.67555555556
"298"	47	4409.22619047619
"299"	43	5254.76222222222
"300"	42	4125.27333333333
"301"	28	4736.50416666667
"302"	54	5150.29555555556
"303"	56	4506.41111111111
"304"	52	6294.88666666667
"305"	58	3209.58555555556
"308"	42	4635.25111111111
"311"	53	5120.53333333333
"312"	51	5305.68777777778
"313"	57	3364.78888888889
"314"	49	4840.15
"315"	47	6479.40111111111
"316"	29	3510.38555555556
"317"	38	5259.22666666667
"318"	42	7180.92666666667
"319"	33	7101.65333333333
"320"	41	3125.01547619048
"321"	52	7415.64333333333
"322"	41	7562.575
"324"	29	6262.58222222222
"325"	48	3795.71428571429
"326"	34	3858.70714285714
"328"	45	8024.20555555556
"329"	45	7665.17857142857
"330"	25	6182.3141025641
"331"	47	6030.30666666667
"334"	54	7698.95476190476
"335"	57	5448.54666666667
"336"	29	5142.57948717949
"337"	48	7306.1
"341"	43	3569.17023809524
"342"	49	4664.12820512821
"343"	37	7303.29285714286
"344"	46	9283.40777777778
"345"	54	5676.98928571429
"346"	37	3641.73
"347"	45	3213.00128205128
"348"	33	4020.84027777778
"349"	51	5032.37555555556
"350"	46	4030.70777777778
"353"	50	6796.94285714286
"356"	54	4848.78888888889
"357"	39	6927.06785714286
"358"	53	5611.91785714286
"359"	50	6810.92666666667
"360"	48	4486.95111111111
"362"	44	6315.14888888889
"363"	52	3467.48222222222
"364"	46	4030.96777777778
