"NS" "Trial" "Resp" "Reward" "Transition" "PrReward" "PrTransition" "Stay"
"111" 14 2 1 -1 -1 1 1
"111" 15 2 1 1 1 -1 1
"111" 16 2 -1 1 1 1 1
"111" 17 2 1 1 -1 1 1
"111" 18 2 1 1 1 1 1
"111" 19 2 1 1 1 1 1
"111" 20 2 1 1 1 1 1
"111" 21 2 1 -1 1 1 1
"111" 22 1 -1 -1 1 -1 0
"111" 23 1 1 -1 -1 -1 1
"111" 24 1 1 1 1 -1 1
"111" 25 1 -1 -1 1 1 1
"111" 26 1 1 1 -1 -1 1
"111" 27 1 -1 -1 1 1 1
"111" 29 1 -1 -1 -1 1 1
"111" 30 1 -1 -1 -1 -1 1
"111" 31 2 1 1 -1 -1 0
"111" 32 2 -1 -1 1 1 1
"111" 33 1 -1 1 -1 -1 0
"111" 34 2 1 -1 -1 1 0
"111" 35 2 -1 1 1 -1 1
"111" 36 2 1 1 -1 1 1
"111" 37 2 -1 1 1 1 1
"111" 38 1 -1 -1 -1 1 0
"111" 39 1 -1 -1 -1 -1 1
"111" 40 1 1 1 -1 -1 1
"111" 41 1 1 1 1 1 1
"111" 42 1 -1 -1 1 1 1
"111" 43 1 1 1 -1 -1 1
"111" 44 1 -1 1 1 1 1
"111" 45 1 1 -1 -1 1 1
"111" 46 1 1 -1 1 -1 1
"111" 47 1 1 1 1 -1 1
"111" 48 1 1 1 1 1 1
"111" 49 1 1 1 1 1 1
"111" 50 1 1 -1 1 1 1
"111" 51 1 -1 1 1 -1 1
"111" 52 1 1 1 -1 1 1
"111" 53 1 -1 -1 1 1 1
"111" 54 1 1 1 -1 -1 1
"111" 55 1 1 1 1 1 1
"111" 56 1 1 1 1 1 1
"111" 57 1 1 1 1 1 1
"111" 58 1 -1 -1 1 1 1
"111" 59 1 -1 -1 -1 -1 1
"111" 60 1 1 1 -1 -1 1
"111" 61 1 1 -1 1 1 1
"111" 62 1 -1 1 1 -1 1
"111" 63 2 1 1 -1 1 0
"111" 64 2 1 1 1 1 1
"111" 65 2 -1 1 1 1 1
"111" 66 2 -1 1 -1 1 1
"111" 67 2 -1 1 -1 1 1
"111" 68 1 1 1 -1 1 0
"111" 69 1 -1 1 1 1 1
"111" 70 1 1 1 -1 1 1
"111" 71 1 1 1 1 1 1
"111" 72 1 -1 1 1 1 1
"111" 73 1 -1 1 -1 1 1
"111" 74 1 -1 1 -1 1 1
"111" 75 1 -1 1 -1 1 1
"111" 76 1 -1 1 -1 1 1
"111" 77 2 -1 1 -1 1 0
"111" 78 1 -1 -1 -1 1 0
"111" 79 1 1 1 -1 -1 1
"111" 80 1 1 1 1 1 1
"111" 81 1 -1 1 1 1 1
"111" 82 1 1 1 -1 1 1
"111" 83 1 1 1 1 1 1
"111" 84 1 -1 -1 1 1 1
"111" 85 1 1 1 -1 -1 1
"111" 86 1 1 1 1 1 1
"111" 87 1 1 -1 1 1 1
"111" 88 1 1 1 1 -1 1
"111" 89 1 1 1 1 1 1
"111" 90 1 1 1 1 1 1
"111" 91 1 1 -1 1 1 1
"111" 92 1 1 1 1 -1 1
"111" 93 1 1 1 1 1 1
"111" 94 1 -1 1 1 1 1
"111" 95 1 1 -1 -1 1 1
"111" 96 1 -1 1 1 -1 1
"111" 97 1 -1 1 -1 1 1
"111" 98 1 1 -1 -1 1 1
"111" 99 2 -1 -1 1 -1 0
"111" 100 1 1 1 -1 -1 0
"111" 101 1 1 1 1 1 1
"111" 102 1 -1 -1 1 1 1
"111" 103 1 1 1 -1 -1 1
"111" 104 1 1 -1 1 1 1
"111" 105 1 -1 -1 1 -1 1
"111" 106 1 -1 -1 -1 -1 1
"111" 107 1 1 1 -1 -1 1
"111" 108 1 1 1 1 1 1
"111" 109 1 1 1 1 1 1
"111" 110 1 1 1 1 1 1
"111" 111 1 1 1 1 1 1
"111" 112 1 1 1 1 1 1
"111" 113 1 -1 -1 1 1 1
"111" 114 1 1 1 -1 -1 1
"111" 115 1 -1 1 1 1 1
"111" 116 1 1 1 -1 1 1
"111" 117 1 1 1 1 1 1
"111" 118 1 -1 1 1 1 1
"111" 119 1 -1 -1 -1 1 1
"111" 120 1 -1 1 -1 -1 1
"111" 121 1 -1 -1 -1 1 1
"111" 122 1 1 1 -1 -1 1
"111" 123 1 1 1 1 1 1
"111" 124 1 1 1 1 1 1
"111" 125 1 1 1 1 1 1
"111" 126 1 1 1 1 1 1
"111" 127 1 -1 1 1 1 1
"111" 128 1 1 -1 -1 1 1
"111" 129 1 1 1 1 -1 1
"111" 130 1 -1 -1 1 1 1
"111" 131 1 1 1 -1 -1 1
"111" 132 1 -1 1 1 1 1
